date,listeners,streams,followers
2017-09-19,22,95,152
2017-09-18,17,51,151
2017-09-17,12,40,152
2017-09-16,21,38,152
2017-09-15,24,50,150
2017-09-14,24,56,149
2017-09-13,23,80,148
2017-09-12,19,114,148
2017-09-11,24,113,147
2017-09-10,19,52,147
2017-09-09,18,40,147
2017-09-08,23,38,146
2017-09-07,22,55,145
2017-09-06,31,77,146
2017-09-05,25,53,146
2017-09-04,26,48,146
2017-09-03,17,59,146
2017-09-02,26,43,146
2017-09-01,26,67,145
2017-08-31,27,48,145
2017-08-30,30,57,144
2017-08-29,25,47,143
2017-08-28,21,23,143
2017-08-27,20,31,143
2017-08-26,25,36,143
2017-08-25,23,51,143
2017-08-24,22,42,143
2017-08-23,28,43,143
2017-08-22,17,46,143
2017-08-21,23,48,143
2017-08-20,18,53,143
2017-08-19,28,53,143
2017-08-18,27,51,144
2017-08-17,21,73,144
2017-08-16,29,57,144
2017-08-15,23,45,144
2017-08-14,31,65,144
2017-08-13,26,50,144
2017-08-12,26,49,143
2017-08-11,30,73,142
2017-08-10,25,50,142
2017-08-09,31,77,141
2017-08-08,31,76,141
2017-08-07,33,69,140
2017-08-06,28,63,140
2017-08-05,29,62,140
2017-08-04,32,91,140
2017-08-03,32,67,140
2017-08-02,33,88,140
2017-08-01,25,74,139
2017-07-31,29,77,139
2017-07-30,25,55,138
2017-07-29,25,65,138
2017-07-28,26,80,137
2017-07-27,27,106,137
2017-07-26,22,59,137
2017-07-25,26,56,137
2017-07-24,27,76,137
2017-07-23,18,31,135
2017-07-22,20,39,135
2017-07-21,25,77,135
2017-07-20,24,52,135
2017-07-19,33,65,135
2017-07-18,23,55,134
2017-07-17,13,26,134
2017-07-16,13,22,134
2017-07-15,12,28,133
2017-07-14,18,30,133
2017-07-13,22,70,133
2017-07-12,18,38,133
2017-07-11,15,33,133
2017-07-10,15,24,133
2017-07-09,13,19,133
2017-07-08,14,18,133
2017-07-07,30,100,132
2017-07-06,26,92,131
2017-07-05,25,68,130
2017-07-04,14,33,130
2017-07-03,27,79,129
2017-07-02,17,33,129
2017-07-01,18,30,129
2017-06-30,27,51,129
2017-06-29,16,30,129
2017-06-28,16,48,129
2017-06-27,12,26,127
2017-06-26,19,39,126
2017-06-25,12,29,125
2017-06-24,11,44,124
2017-06-23,26,61,123
2017-06-22,27,58,121
2017-06-21,22,55,118
2017-06-20,14,29,118
2017-06-19,20,26,117
2017-06-18,15,44,116
2017-06-17,15,88,115
2017-06-16,20,60,115
2017-06-15,14,27,115
2017-06-14,23,53,115
2017-06-13,12,22,115
2017-06-12,20,45,115
2017-06-11,13,25,114
2017-06-10,16,32,114
2017-06-09,17,30,114
2017-06-08,18,50,113
2017-06-07,17,47,113
2017-06-06,8,16,113
2017-06-05,13,45,112
2017-06-04,15,40,112
2017-06-03,10,20,111
2017-06-02,13,37,111
2017-06-01,17,30,111
2017-05-31,7,14,111
2017-05-30,15,39,111
2017-05-29,7,9,111
2017-05-28,15,30,111
2017-05-27,18,37,111
2017-05-26,17,37,111
2017-05-25,21,50,110
2017-05-24,14,32,109
2017-05-23,14,33,108
2017-05-22,14,22,108
2017-05-21,10,35,108
2017-05-20,11,26,108
2017-05-19,18,44,107
2017-05-18,18,54,106
2017-05-17,10,47,106
2017-05-16,14,37,106
2017-05-15,11,36,106
2017-05-14,13,40,106
2017-05-13,14,20,105
2017-05-12,17,54,105
2017-05-11,16,35,103
2017-05-10,8,27,102
2017-05-09,10,26,102
2017-05-08,7,23,102
2017-05-07,15,35,102
2017-05-06,13,25,100
2017-05-05,9,29,100
2017-05-04,16,23,100
2017-05-03,19,35,100
2017-05-02,20,44,99
2017-05-01,13,29,99
2017-04-30,9,11,98
2017-04-29,9,14,98
2017-04-28,16,36,98
2017-04-27,19,71,98
2017-04-26,19,48,96
2017-04-25,21,60,96
2017-04-24,17,55,95
2017-04-23,15,30,95
2017-04-22,22,44,95
2017-04-21,31,62,94
2017-04-20,36,92,93
2017-04-19,27,38,91
2017-04-18,28,67,91
2017-04-17,17,61,91
2017-04-16,20,53,91
2017-04-15,18,31,90
2017-04-14,15,31,88
2017-04-13,14,26,88
2017-04-12,11,31,88
2017-04-11,11,21,88
2017-04-10,12,30,88
2017-04-09,11,15,88
2017-04-08,13,34,88
2017-04-07,12,16,87
2017-04-06,13,16,85
2017-04-05,8,8,85
2017-04-04,11,26,85
2017-04-03,13,19,84
2017-04-02,11,16,84
2017-04-01,12,17,84
2017-03-31,10,16,84
2017-03-30,11,23,83
2017-03-29,9,34,83
2017-03-28,12,28,83
2017-03-27,7,11,83
2017-03-26,5,7,83
2017-03-25,10,44,83
2017-03-24,19,66,82
2017-03-23,20,43,82
2017-03-22,11,67,81
2017-03-21,15,75,81
2017-03-20,11,58,81
2017-03-19,11,63,81
2017-03-18,12,53,81
2017-03-17,13,41,81
2017-03-16,18,67,80
2017-03-15,16,44,80
2017-03-14,11,34,80
2017-03-13,18,81,80
2017-03-12,13,44,80
2017-03-11,14,37,79
2017-03-10,15,54,79
2017-03-09,12,59,79
2017-03-08,17,67,79
2017-03-07,15,51,79
2017-03-06,15,86,79
2017-03-05,11,39,79
2017-03-04,11,25,79
2017-03-03,19,60,79
2017-03-02,15,51,79
2017-03-01,17,59,79
2017-02-28,15,63,79
2017-02-27,8,68,79
2017-02-26,10,40,79
2017-02-25,11,53,79
2017-02-24,13,38,78
2017-02-23,13,45,78
2017-02-22,11,21,78
2017-02-21,13,43,78
2017-02-20,12,29,78
2017-02-19,10,34,78
2017-02-18,18,59,78
2017-02-17,15,48,77
2017-02-16,20,60,77
2017-02-15,20,54,76
2017-02-14,14,55,76
2017-02-13,8,18,75
2017-02-12,10,24,75
2017-02-11,9,16,75
2017-02-10,19,50,75
2017-02-09,12,35,74
2017-02-08,14,40,74
2017-02-07,16,36,73
2017-02-06,13,31,73
2017-02-05,16,36,72
2017-02-04,13,148,72
2017-02-03,15,42,72
2017-02-02,20,110,71
2017-02-01,15,140,71
2017-01-31,10,19,71
2017-01-30,13,37,71
2017-01-29,19,29,71
2017-01-28,12,23,71
2017-01-27,15,29,70
2017-01-26,11,34,70
2017-01-25,12,24,69
